Season,Id,Date,Time,League,Home,Away,Round_number,FT_Goals_H,FT_Goals_A,FT_Odd_ML_Bookie,FT_Odd_ML_H,FT_Odd_ML_D,FT_Odd_ML_A,HT_Odd_OU_05_Bookie,HT_Odd_Over05,HT_Odd_Under05,FT_Odd_OU_05_Bookie,FT_Odd_Over05,FT_Odd_Under05,FT_Odd_OU_15_Bookie,FT_Odd_Over15,FT_Odd_Under15,FT_Odd_OU_25_Bookie,FT_Odd_Over25,FT_Odd_Under25,FT_Odd_OU_35_Bookie,FT_Odd_Over35,FT_Odd_Under35,FT_Odd_OU_45_Bookie,FT_Odd_Over45,FT_Odd_Under45,FT_Odd_BTTS_Bookie,FT_Odd_BTTS_Yes,FT_Odd_BTTS_No
2024,h0xOz4wF,27/09/2024,21:30,BRASIL - SÉRIE B,Coritiba,Goiás,RODADA 29,0,0,bet365,1.9,3.1,4.5,bet365,1.53,2.38,bet365,1.1,7.0,bet365,1.5,2.5,bet365,2.5,1.5,bet365,5.0,1.17,bet365,11.0,1.05,bet365,2.2,1.62
2024,294iJy8s,27/09/2024,21:30,BRASIL - SÉRIE B,Paysandu,Ituano,RODADA 29,1,0,bet365,1.7,3.4,5.5,bet365,1.44,2.63,bet365,1.07,9.0,bet365,1.33,3.25,bet365,2.1,1.7,bet365,3.75,1.25,bet365,8.0,1.08,bet365,2.0,1.73
2023,C6dUTYnN,27/11/2023,21:00,BRASIL - SÉRIE A,Goiás,Cruzeiro,RODADA 35,0,1,bet365,2.88,3.1,2.6,bet365,1.57,2.25,bet365,1.1,7.0,bet365,1.5,2.63,bet365,2.5,1.5,bet365,5.0,1.17,bet365,11.0,1.05,bet365,2.05,1.7
2024,Wrae5E5Q,28/04/2024,11:00,BRASIL - BRASILEIRÃO BETANO,Flamengo,Botafogo,RODADA 4,0,2,bet365,1.57,4.2,5.5,bet365,1.4,2.75,bet365,1.05,11.0,bet365,1.3,3.5,bet365,2.0,1.9,bet365,3.4,1.33,bet365,6.5,1.11,bet365,2.0,1.75
2024,jTuSahTm,28/04/2024,16:00,BRASIL - BRASILEIRÃO BETANO,Corinthians,Fluminense,RODADA 4,3,0,bet365,2.15,3.2,3.6,bet365,1.5,2.5,bet365,1.08,8.0,bet365,1.4,3.0,bet365,2.25,1.62,bet365,4.33,1.22,bet365,9.0,1.07,bet365,1.95,1.8
2024,OIem7zyE,28/04/2024,16:00,BRASIL - BRASILEIRÃO BETANO,Cruzeiro,Vitória,RODADA 4,3,1,bet365,1.53,4.2,6.0,bet365,1.44,2.63,bet365,1.06,10.0,bet365,1.33,3.4,bet365,2.05,1.75,bet365,3.75,1.29,bet365,7.0,1.1,bet365,2.2,1.62
2024,Qw0wMfVi,28/04/2024,16:00,BRASIL - SÉRIE B,Coritiba,Brusque,RODADA 2,1,0,Betano.br,1.65,3.6,5.3,Betano.br,1.53,2.47,Betano.br,1.09,6.6,Betano.br,1.42,2.72,Betano.br,2.27,1.62,Betano.br,4.0,1.22,Betano.br,7.2,1.07,Betano.br,2.18,1.62
2024,OtvzbWc0,28/04/2024,18:30,BRASIL - BRASILEIRÃO BETANO,Fortaleza,Red Bull Bragantino,RODADA 4,1,1,bet365,2.25,3.2,3.4,bet365,1.5,2.5,bet365,1.08,8.0,bet365,1.4,3.0,bet365,2.2,1.65,bet365,4.33,1.22,bet365,9.0,1.07,bet365,1.95,1.8
2024,IuXrdASC,28/04/2024,18:30,BRASIL - BRASILEIRÃO BETANO,Juventude,Athletico-PR,RODADA 4,1,1,bet365,2.9,3.0,2.75,bet365,1.57,2.25,bet365,1.13,6.0,bet365,1.53,2.5,bet365,2.6,1.48,bet365,5.0,1.17,bet365,11.0,1.05,bet365,2.05,1.7
2024,SrU86FV4,28/04/2024,18:30,BRASIL - SÉRIE B,Goiás,Ponte Preta,RODADA 2,3,0,Betano.br,1.6,3.65,5.9,Betano.br,1.57,2.37,Betano.br,1.1,6.2,Betano.br,1.5,2.57,Betano.br,2.42,1.55,Betano.br,4.35,1.19,Betano.br,7.9,1.06,Betano.br,2.4,1.5
2024,MDH4ribD,28/04/2024,20:00,BRASIL - BRASILEIRÃO BETANO,Internacional,Atlético-GO,RODADA 4,1,1,bet365,1.55,3.8,7.0,bet365,1.44,2.63,bet365,1.07,9.0,bet365,1.36,3.2,bet365,2.1,1.7,bet365,4.0,1.25,bet365,8.0,1.08,bet365,2.2,1.62
2024,4SVSko7n,28/05/2024,19:00,BRASIL - SÉRIE B,Amazonas,Mirassol,RODADA 7,1,0,bet365,3.1,3.0,2.45,bet365,1.57,2.25,bet365,1.11,6.5,bet365,1.53,2.38,bet365,2.7,1.44,bet365,5.5,1.14,bet365,13.0,1.04,bet365,2.2,1.62
2024,n9xdnUZR,28/07/2024,11:00,BRASIL - BRASILEIRÃO BETANO,Red Bull Bragantino,Fluminense,RODADA 20,0,1,bet365,2.3,3.1,3.3,bet365,1.44,2.63,bet365,1.08,8.0,bet365,1.4,3.0,bet365,2.2,1.65,bet365,4.0,1.25,bet365,9.0,1.07,bet365,1.91,1.91
2024,CjpqkWk9,28/07/2024,16:00,BRASIL - BRASILEIRÃO BETANO,Flamengo,Atlético-GO,RODADA 20,2,0,bet365,1.29,5.25,11.0,bet365,1.3,3.4,bet365,1.04,13.0,bet365,1.22,4.33,bet365,1.7,2.1,bet365,2.75,1.44,bet365,5.0,1.17,bet365,2.1,1.67
2024,xdx9kiVg,28/07/2024,16:00,BRASIL - SÉRIE B,Guarani,Brusque,RODADA 18,1,0,bet365,1.9,3.2,4.5,bet365,1.62,2.2,bet365,1.13,6.0,bet365,1.57,2.25,bet365,2.7,1.44,bet365,6.0,1.13,bet365,13.0,1.04,bet365,2.5,1.5
2024,6kqPo9UI,28/07/2024,18:30,BRASIL - SÉRIE B,América-MG,Ceará,RODADA 18,2,2,bet365,1.95,3.4,3.8,bet365,1.5,2.5,bet365,1.08,8.0,bet365,1.44,2.63,bet365,2.4,1.53,bet365,4.5,1.18,bet365,11.0,1.05,bet365,2.1,1.67
2024,bqWA9CMP,28/07/2024,18:30,BRASIL - SÉRIE B,CRB,Santos,RODADA 18,1,1,bet365,3.1,2.8,2.7,bet365,1.57,2.25,bet365,1.13,6.0,bet365,1.53,2.38,bet365,2.7,1.44,bet365,5.5,1.14,bet365,13.0,1.04,bet365,2.1,1.67
2024,vwnyihLd,28/07/2024,19:00,BRASIL - BRASILEIRÃO BETANO,Atlético-MG,Corinthians,RODADA 20,2,1,bet365,1.7,3.5,5.75,bet365,1.44,2.63,bet365,1.07,9.0,bet365,1.36,3.2,bet365,2.1,1.7,bet365,4.0,1.25,bet365,8.0,1.08,bet365,2.0,1.75
2024,IiTRt8ck,28/07/2024,19:00,BRASIL - BRASILEIRÃO BETANO,Cuiabá,Athletico-PR,RODADA 20,1,2,bet365,2.38,3.1,3.25,bet365,1.53,2.38,bet365,1.11,6.5,bet365,1.5,2.63,bet365,2.5,1.5,bet365,5.0,1.17,bet365,11.0,1.05,bet365,2.05,1.7
